Year,Month,Day,Hour solar,Ambient temperature (øC),Wind speed (m/s),Sun elevation (ø),Sun incidence angle (ø),Gh (W/m2),Bh (W/m2),G (W/m2),B (W/m2),"Inclined global spectral irradiance,306.8-327.8nm",327.8-362.5nm,362.5-407.5nm,407.5-452.0nm,452.0nm-517.7nm,517.7-540.0nm,540.0-549.5nm,549.5-566.6nm,566.6-605.0nm,605.0-625.0nm,625.0-666.7nm,666.7-684.2nm,684.2-704.4nm,704.4-742.6nm,742.6-791.5nm,791.5-844.5nm,844.5-889.0nm,889.0-974.9nm,974.9-1045.7nm,1045.7-1194.2nm,1194.2-1515.9nm,1515.9-1613.5nm,1613.5-1964.8nm,1964.8-2153.5nm,2153.5-2275.2nm,2275.2-3001.9nm,3001.9-3635.4nm,3635.4-3991.0nm,3991.0-4605.65nm
2013,1,1,0.30917,-15.85,5.31,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,1.3092,-16.28,5.15,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,2.3092,-16.71,4.99,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,3.3092,-17.64,4.68,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,4.3092,-18.69,4.34,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,5.3092,-19.74,3.99,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,6.3017,-17.15,3.46,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,7.3017,-14.72,3.7,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,8.3017,-12.29,3.93,12.289,65.739,227.5,196.4,430.84,379.14,0.286,4.034,7.943,15.683,31.752,14.928,6.343,9.049,18.851,12.647,21.18,11.097,10.695,17.482,23.909,24.36,20.366,23.837,23.934,30.11,43.544,11.959,22.99,6.053,4.612,7.327,3.837,1.545,0.49
2013,1,1,9.3017,-9.96,5,21.147,54.267,416.9,379.8,671.95,614.82,1.011,8.302,16.566,30.374,56.805,22.85,9.723,15.096,31.915,19.234,33.997,16.092,16.305,27.559,34.692,35.737,28.426,37.341,33.65,46.011,65.107,16.871,32.87,9.308,6.411,10.85,5.801,2.25,0.799
2013,1,1,10.302,-7.66,6.28,27.98,44.694,307.6,54.1,342.1,81.973,1.125,6.872,12.026,19.378,33.569,13.599,5.593,8.342,18.013,10.683,18.278,9.168,8.083,14.151,17.006,17.28,14.214,17.852,16.62,21.569,28.483,9.28,12.642,3.886,2.036,1.251,0.721,0.273,0.106
2013,1,1,11.302,-5.36,7.56,32.048,38.481,208.5,1.6,204.49,2.36,0.947,5.149,8.597,13.33,22.526,7.376,3.122,5.482,11.918,6.025,11.868,4.879,4.93,9.013,10.389,10.362,8.18,10.963,9.43,12.97,15.655,3.571,5.856,1.106,0.597,0.129,0.074,0.03,0.012
2013,1,1,12.302,-4.63,8.02,32.752,37.349,167.9,0,163.81,0,0.799,4.272,7.079,10.917,18.376,5.944,2.521,4.459,9.69,4.859,9.626,3.915,3.981,7.288,8.393,8.347,6.577,8.806,7.555,10.355,12.138,2.627,4.175,0.689,0.359,0.038,0.019,0.007,0.003
2013,1,1,13.302,-4.3,8.28,29.971,41.716,197.1,1.7,193.47,2.54,0.837,4.783,8.036,12.526,21.245,6.973,2.952,5.174,11.246,5.7,11.236,4.635,4.664,8.536,9.873,9.836,7.792,10.338,8.983,12.268,14.877,3.429,5.638,1.066,0.581,0.128,0.075,0.03,0.012
2013,1,1,14.302,-3.97,8.53,24.15,50.163,61,0,59.517,0,0.249,1.645,2.739,4.266,7.218,2.329,0.984,1.74,3.759,1.898,3.777,1.55,1.532,2.816,3.332,3.236,2.612,3.172,2.895,3.545,3.106,0.524,0.536,0.042,0.015,0,0,0,0
2013,1,1,15.302,-4.94,8.08,16.014,61.01,32.3,0,31.513,0,0.081,0.782,1.354,2.184,3.785,1.224,0.517,0.912,1.964,1.003,2.027,0.846,0.813,1.512,1.842,1.76,1.463,1.644,1.614,1.876,1.683,0.292,0.306,0.021,0.008,0,0,0,0
2013,1,1,16.302,-6.24,7.46,6.2505,73.19,21.9,0,21.368,0,0.011,0.339,0.663,1.197,2.247,0.727,0.306,0.533,1.132,0.602,1.298,0.578,0.501,0.978,1.336,1.192,1.11,1.034,1.235,1.329,1.751,0.409,0.729,0.075,0.053,0.002,0.001,0,0
2013,1,1,17.302,-7.54,6.84,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,18.302,-8.44,6.8,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,19.302,-9.24,6.89,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,20.302,-10.04,6.99,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,21.302,-10.73,6.89,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,22.302,-11.4,6.73,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
