Year,Month,Day,Hour solar,Ambient temperature (øC),Wind speed (m/s),Sun elevation (ø),Sun incidence angle (ø),Gh (W/m2),Bh (W/m2),G (W/m2),B (W/m2),"Inclined global spectral irradiance,306.8-327.8nm",327.8-362.5nm,362.5-407.5nm,407.5-452.0nm,452.0nm-517.7nm,517.7-540.0nm,540.0-549.5nm,549.5-566.6nm,566.6-605.0nm,605.0-625.0nm,625.0-666.7nm,666.7-684.2nm,684.2-704.4nm,704.4-742.6nm,742.6-791.5nm,791.5-844.5nm,844.5-889.0nm,889.0-974.9nm,974.9-1045.7nm,1045.7-1194.2nm,1194.2-1515.9nm,1515.9-1613.5nm,1613.5-1964.8nm,1964.8-2153.5nm,2153.5-2275.2nm,2275.2-3001.9nm,3001.9-3635.4nm,3635.4-3991.0nm,3991.0-4605.65nm
2015,1,1,0.30167,0.15667,1.54,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,1.3017,-0.17667,1.41,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,2.3017,-0.51,1.28,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,3.3017,-0.77667,1.1667,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,4.3017,-1.0433,1.0533,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,5.3017,-1.31,0.94,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,6.3017,-1.5767,0.79667,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,7.3017,-1.8433,0.65333,2.2819,78.038,4.2,0,4.098,0,0.001,0.054,0.113,0.226,0.465,0.153,0.063,0.111,0.229,0.133,0.301,0.148,0.102,0.193,0.363,0.253,0.318,0.109,0.322,0.178,0.17,0.054,0.035,0.002,0.002,0,0,0,0
2015,1,1,8.3017,-2.11,0.51,12.605,65.462,80.4,2.2,81.051,4.187,0.133,1.616,2.953,4.989,9.001,3.119,1.32,2.238,4.818,2.615,5.133,2.317,2.089,3.69,4.808,4.464,4.004,3.317,4.487,4.491,4.657,1.919,1.835,0.548,0.368,0.053,0.038,0.027,0.004
2015,1,1,9.3017,-1.2267,0.59667,21.531,53.929,143.5,3.2,142.64,5.134,0.456,3.346,5.82,9.377,16.326,5.527,2.335,4.028,8.718,4.567,8.923,3.836,3.666,6.461,7.98,7.597,6.467,6.256,7.342,8.029,8.042,2.977,2.953,0.888,0.556,0.071,0.052,0.035,0.008
2015,1,1,10.302,-0.34333,0.68333,28.426,44.282,443.1,266.8,615.59,401.25,1.589,10.093,18.899,32.388,58.302,24.656,10.491,15.2,32.372,20.733,33.779,17.059,16.109,25.873,33.277,33.937,28.899,29.854,32.872,37.984,42.218,16.687,19.14,8.34,5.826,3.812,2.973,1.767,0.465
2015,1,1,11.302,0.54,0.77,32.538,38,437.2,177.3,547.72,259.76,1.82,10.328,18.606,30.722,54.012,23.608,9.842,13.771,29.492,19.03,30.258,16.053,14.035,22.868,28.897,29.298,25.044,25.873,28.252,32.601,35.598,14.833,15.398,6.91,4.578,2.526,1.99,1.154,0.327
2015,1,1,12.302,1.42,0.73667,33.25,36.853,89.5,0,87.324,0,0.509,2.677,4.349,6.652,11.136,3.596,1.521,2.697,5.816,2.935,5.774,2.361,2.334,4.109,4.983,4.7,3.902,3.936,4.294,4.549,3.165,0.774,0.474,0.06,0.021,0,0,0,0
2015,1,1,13.302,2.3,0.70333,30.438,41.273,258.5,20.6,266.71,30.561,1.105,6.337,10.852,17.217,29.614,10.743,4.488,7.331,15.867,8.677,16.009,7.279,6.778,11.722,14.29,13.92,11.676,12.121,13.272,15.256,15.729,6.24,6.109,2.255,1.337,0.203,0.159,0.094,0.027
