Year,Month,Day,Hour solar,Ambient temperature (øC),Wind speed (m/s),Sun elevation (ø),Sun incidence angle (ø),Gh (W/m2),Bh (W/m2),G (W/m2),B (W/m2),"Inclined global spectral irradiance,306.8-327.8nm",327.8-362.5nm,362.5-407.5nm,407.5-452.0nm,452.0nm-517.7nm,517.7-540.0nm,540.0-549.5nm,549.5-566.6nm,566.6-605.0nm,605.0-625.0nm,625.0-666.7nm,666.7-684.2nm,684.2-704.4nm,704.4-742.6nm,742.6-791.5nm,791.5-844.5nm,844.5-889.0nm,889.0-974.9nm,974.9-1045.7nm,1045.7-1194.2nm,1194.2-1515.9nm,1515.9-1613.5nm,1613.5-1964.8nm,1964.8-2153.5nm,2153.5-2275.2nm,2275.2-3001.9nm,3001.9-3635.4nm,3635.4-3991.0nm,3991.0-4605.65nm
2013,1,1,0.65139,6,0.9,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,1.6514,5.8,1.2,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,2.6514,5.8,1.3,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,3.6514,5.5,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,4.6514,5.3,0.8,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,5.6514,5.5,0.8,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,6.6514,5.2,0.7,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,7.6514,5.5,0.9,6.1,70.6,2,0,1,0,0,0.012352,0.057065,0.087945,0.14229,0.042243,0.017292,0.029644,0.058053,0.029891,0.061759,0.027421,0.026433,0.048419,0.060771,0.058547,0.052372,0.044466,0.047925,0.048666,0.028162,0.0014822,0.007164,0.0096344,0,0,0,0,0
2013,1,1,8.6514,6,1.2,16,57.8,20,0,20,0,0,0.20911,0.96765,1.5299,2.5686,0.8118,0.34129,0.59874,1.233,0.62734,1.2478,0.53166,0.52476,0.94989,1.1639,1.1156,0.95482,0.87986,0.99724,1.0781,0.74275,0.040442,0.11639,0.76938,0,0,0,0,0
2013,1,1,9.6514,6.5,0.4,24.3,46,111,0,107,0,0,1.1688,5.2981,7.882,13.463,4.4056,1.8642,3.3286,6.8301,3.5266,6.7528,2.8553,2.7307,4.6114,6.5413,5.5348,5.0518,3.5334,5.4102,5.4932,4.8103,0.71479,1.162,4.0308,0,0,0,0,0
2013,1,1,10.651,6.7,0.9,30.4,36.3,118,0,114,0,0,1.1262,5.1155,7.6305,13.052,4.1779,1.7591,3.1033,6.4398,3.3072,6.5921,2.8267,2.8185,4.9421,6.366,5.8925,5.0979,4.5975,6.1609,6.8546,7.2297,1.8118,1.888,5.2104,0,0,0,0,0
2013,1,1,11.651,7.1,1.4,33.4,30.9,109,0,110,0,0,1.3663,6.1634,9.1132,15.41,5.048,2.095,3.8001,7.2918,4.0065,7.3201,3.268,2.7575,4.202,7.0964,5.1197,5.4553,2.4284,4.884,4.5159,2.9834,0.27477,0.7407,4.6592,0,0,0,0,0
2013,1,1,12.651,7.4,4.3,32.8,31.9,245,1.1,276,1.7,0,2.0921,10.118,16.796,29.512,9.6883,4.1464,7.3825,15.868,8.0558,16.026,6.7092,6.8617,12.346,14.606,14.355,11.695,13.286,14.815,18.059,19.232,6.7337,5.6387,11.978,0,0,0,0,0
2013,1,1,13.651,7.6,0.5,28.8,38.9,110,0.5,105,0.8,0,0.94055,4.42,7.0876,12.095,3.9051,1.6622,2.9433,6.2352,3.149,6.217,2.5956,2.6311,4.7707,5.7173,5.5754,4.5953,4.9014,5.4872,6.4257,6.1642,1.647,1.6835,4.1504,0,0,0,0,0
2013,1,1,14.651,7.3,1.8,22,49.4,55,0,52,0,0,0.50251,2.3332,3.7152,6.324,2.0253,0.85711,1.5096,3.1711,1.5997,3.1731,1.3292,1.3444,2.4487,2.8986,2.8449,2.3464,2.5085,2.6625,3.1123,2.4893,0.27253,0.47719,2.0546,0,0,0,0,0
2013,1,1,15.651,7.3,1.5,13.2,61.6,61,0,60,0,0,0.62501,2.8718,4.4296,7.2118,2.2117,0.92156,1.6022,3.297,1.6588,3.3361,1.4189,1.4261,2.6133,3.0386,3.0221,2.4753,2.74,2.9788,3.5503,3.7078,1.3221,1.1316,2.4094,0,0,0,0,0
2013,1,1,16.651,6.9,1.6,2.9,74.6,6,0,6,0,0,0.061717,0.28623,0.45886,0.75313,0.22004,0.088551,0.15027,0.29249,0.15027,0.32737,0.15027,0.14937,0.28801,0.33721,0.34168,0.29606,0.31306,0.31485,0.34973,0.30501,0.077818,0.078712,0.2093,0,0,0,0,0
2013,1,1,17.651,6.6,3.1,0,88.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,18.651,6.3,2.2,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,19.651,6.3,3.2,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,20.651,6.2,4,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,21.651,6.3,4.7,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,22.651,7,6.9,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,23.651,5.5,5.9,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,2,0.65139,5.5,2.6,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,2,1.6514,5,5.1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,2,2.6514,3.6,2.6,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,2,3.6514,3,2.1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,2,4.6514,2.2,1.6,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,2,5.6514,2.8,2.2,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,2,6.6514,1.7,1.6,0,84.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
