Year,Month,Day,Hour solar,Ambient temperature (øC),Wind speed (m/s),Sun elevation (ø),Sun incidence angle (ø),Gh (W/m2),Bh (W/m2),G (W/m2),B (W/m2),"Inclined global spectral irradiance,306.8-327.8nm",327.8-362.5nm,362.5-407.5nm,407.5-452.0nm,452.0nm-517.7nm,517.7-540.0nm,540.0-549.5nm,549.5-566.6nm,566.6-605.0nm,605.0-625.0nm,625.0-666.7nm,666.7-684.2nm,684.2-704.4nm,704.4-742.6nm,742.6-791.5nm,791.5-844.5nm,844.5-889.0nm,889.0-974.9nm,974.9-1045.7nm,1045.7-1194.2nm,1194.2-1515.9nm,1515.9-1613.5nm,1613.5-1964.8nm,1964.8-2153.5nm,2153.5-2275.2nm,2275.2-3001.9nm,3001.9-3635.4nm,3635.4-3991.0nm,3991.0-4605.65nm
2015,1,1,0.25167,-12.687,1.5433,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,1.2517,-13.043,1.4267,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,2.2517,-13.4,1.31,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,3.2517,-13.617,1.1567,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,4.2517,-13.833,1.0033,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,5.2517,-14.05,0.85,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,6.2517,-14.473,0.79667,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,7.2517,-14.897,0.74333,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,8.2517,-15.32,0.69,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,9.2517,-15.23,0.88,2.7457,71.549,2.6,0,2.535,0,0,0.036,0.074,0.148,0.295,0.093,0.039,0.066,0.134,0.076,0.175,0.086,0.06,0.122,0.22,0.157,0.187,0.088,0.188,0.125,0.111,0.031,0.022,0.001,0.001,0,0,0,0
2015,1,1,10.252,-15.14,1.07,6.9232,64.976,39.7,1.1,42.175,3.86,0.025,0.662,1.289,2.318,4.368,1.613,0.681,1.072,2.268,1.341,2.576,1.319,1.054,1.898,2.696,2.448,2.324,1.755,2.52,2.396,2.612,1.179,1.082,0.353,0.213,0.053,0.035,0.021,0.004
2015,1,1,11.252,-15.05,1.26,9.3549,61.014,52.5,0.7,52.958,2.087,0.056,0.978,1.843,3.192,5.838,2.012,0.848,1.423,3.041,1.664,3.322,1.525,1.337,2.446,3.259,2.996,2.711,2.261,3.012,3.006,3.158,1.209,1.21,0.322,0.212,0.034,0.024,0.016,0.003
2015,1,1,12.252,-15.093,1.8233,9.8501,60.192,49.5,0.2,48.764,0.581,0.058,0.95,1.775,3.047,5.528,1.83,0.774,1.34,2.869,1.518,3.109,1.362,1.235,2.282,3.001,2.747,2.46,2.086,2.75,2.756,2.836,0.994,1.03,0.232,0.16,0.016,0.01,0.006,0.003
2015,1,1,13.252,-15.137,2.3867,8.3675,62.636,34.7,0,33.856,0,0.032,0.641,1.216,2.118,3.878,1.261,0.533,0.933,1.99,1.047,2.193,0.954,0.856,1.599,2.153,1.928,1.766,1.41,1.963,1.889,1.936,0.656,0.676,0.127,0.092,0.004,0.003,0.002,0
2015,1,1,14.252,-15.18,2.95,5.0281,67.99,7.8,0,7.609,0,0.003,0.136,0.267,0.488,0.922,0.296,0.124,0.216,0.45,0.243,0.529,0.241,0.196,0.374,0.565,0.463,0.469,0.292,0.493,0.387,0.31,0.083,0.056,0.004,0.002,0,0,0,0
2015,1,1,15.252,-15.95,2.95,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,16.252,-16.72,2.95,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,17.244,-17.49,2.95,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,18.244,-18.407,2.7,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,19.244,-19.323,2.45,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
