Year,Month,Day,Hour solar,Ambient temperature (øC),Wind speed (m/s),Sun elevation (ø),Sun incidence angle (ø),Gh (W/m2),Bh (W/m2),G (W/m2),B (W/m2),"Inclined global spectral irradiance,306.8-327.8nm",327.8-362.5nm,362.5-407.5nm,407.5-452.0nm,452.0nm-517.7nm,517.7-540.0nm,540.0-549.5nm,549.5-566.6nm,566.6-605.0nm,605.0-625.0nm,625.0-666.7nm,666.7-684.2nm,684.2-704.4nm,704.4-742.6nm,742.6-791.5nm,791.5-844.5nm,844.5-889.0nm,889.0-974.9nm,974.9-1045.7nm,1045.7-1194.2nm,1194.2-1515.9nm,1515.9-1613.5nm,1613.5-1964.8nm,1964.8-2153.5nm,2153.5-2275.2nm,2275.2-3001.9nm,3001.9-3635.4nm,3635.4-3991.0nm,3991.0-4605.65nm
2011,1,1,0.78472,21.98,1.27,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,1,1.7847,21.84,1.12,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,1,2.7847,21.71,0.97,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,1,3.7847,21.61,0.81,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,1,4.7844,21.68,0.61,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,1,5.7844,21.75,0.42,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,1,6.7844,22.14,0.25,11.204,71.606,87,11.1,94.333,18.027,0.146,1.671,3.135,5.461,10.315,3.539,1.51,2.722,5.7,3.159,6.322,2.846,2.376,3.831,6.654,5.041,5.526,1.703,5.975,4.217,5.259,2.807,2.83,0.66,0.677,0.137,0.027,0.081,0.006
2011,1,1,7.7844,24.04,0.17,24.896,58.183,212.2,25.5,216.97,31.935,0.772,5.036,8.807,14.253,25.144,8.372,3.564,6.365,13.606,7.108,14.022,5.927,5.575,9.303,13.254,11.379,10.573,6.535,11.756,10.514,11.365,5.227,5.175,1.608,1.229,0.208,0.124,0.134,0.031
2011,1,1,8.7844,25.94,0.09,38.273,44.561,463.6,168.7,496.19,194.05,2.294,11.483,19.991,32.01,56.005,18.641,7.952,14.181,30.619,15.777,31.001,12.895,12.615,21.171,28.49,25.536,22.608,17.067,25.635,25.35,27.507,12.192,13.117,4.986,3.641,1.398,0.95,0.852,0.23
2011,1,1,9.7844,27.63,0.07,50.907,30.816,644.5,291.2,686.51,322.23,3.803,16.604,28.479,44.919,77.592,25.69,10.949,19.51,42.232,21.572,42.236,17.397,17.333,29.179,38.171,34.827,30.059,24.971,34.268,35.543,38.424,16.434,18.23,7.311,5.132,2.279,1.622,1.332,0.417
